Nom du vendeur,Photo de profil,Badge,Avis (étoiles),Nombre d'avis,Nombre d'annonces,Lieu,Commentaire,Colonne 1
E.Leclerc Le Bosc - Service Occasion,https://img.leboncoin.fr/api/v1/lbcpb1/images/63/a7/b4/63a7b4af-7571-4988-8400-617ed0064931?rule=bo-thumb,Pro,,,13,Le Bosc,Boutique,
MARKET PHONE,https://img.leboncoin.fr/api/v1/lbcpb1/images/98/12/44/9812444c-cb6e-4c4d-9a87-5edf47b541f0?rule=bo-thumb,"Pro, Top vendeur",5,62,34,Villeurbanne,Boutique,
GATE TECHNOLOGY,https://img.leboncoin.fr/api/v1/lbcpb1/images/57/87/a1/5787a1d4-cace-4577-979e-fad5b5972509?rule=bo-thumb,Pro,,,7,Troyes,Boutique,
PHONESTART,,Pro,5,2,2,Troyes,Boutique,
FUTURX,,Pro,"4,9",6,16,11e Arrondissement,Particulier,
DBC TOULOUSE,,Pro,,,12,Toulouse,Particulier,
UNIVACK,,"Pro, Top vendeur",5,318,439,75012,Particulier,
cireluz,,"Réactif, Profil recommandé","4,6",9,13,La Couronne,Particulier,
Dude30,,Réactif,,,2,Saint-Ambroix,Particulier,pas ou peu d'avis / pas ou peu d'annonces
Fred,,Réactif,,,4,75001,Particulier,
nzliclk_,https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/64abd84d-9966-5d17-aaff-727653a2f4d3?rule=pp-large,Très réactif,,,,Périgueux,Particulier,
msk,,,,,,Albi,Particulier,
pauljosset,,Réactif,,,,Rennes,Particulier,
Fredo,https://www.leboncoin.fr/profile/1f84a485-f9f2-48fd-a9aa-b81fe8dbd4d8/offers,Réactif,,,,Noyelles-sous-Lens,Particulier,
Julien R,,Réactif,5,1,4,Villeurbanne,Particulier,
Maxime,,Réactif,"4,9",3,44,,Particulier,
Kika-v,,Réactif,5,1,,Pompignac,Particulier,
simonnetja,,Réactif,5,2,,Linars,Particulier,
Gautier,https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/7d675dac-40be-5280-84e8-ad15962dab9f?rule=pp-large,Réactif,"4,9",100,14,,Particulier,
Enola,https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/73f89309-6ed7-5d1b-a34e-b44cb5e575c3?rule=pp-large,Réactif,5,11,2,Albi,Particulier,
s.1333,,Réactif,,,2,Cadenet,Particulier,
manonnx,,,,,5,,Particulier,
Jenie,https://img.leboncoin.fr/api/v1/tenants/9a6387a1-6259-4f2c-a887-7e67f23dd4cb/domains/20bda58f-d650-462e-a72a-a5a7ecf2bf88/buckets/21d2b0bc-e54c-4b64-a30b-89127b18b785/images/profile/pictures/636dadde-46c2-55f5-8976-ac8071814ce4?rule=pp-large,Très réactif,5,2,,Creil,Particulier,
zk,,Réactif,1,1,2,Cenon,Particulier,